Random ID,Term,Course Abbrevation,Course Number,course,level
304919,Fall 2021,ART,1009,ART 1009,1000
304919,Fall 2021,ART,1009,ART 1009,1000
304919,Fall 2021,BIOL,1039,BIOL 1039,1000
304919,Fall 2021,ENGL,1109,ENGL 1109,1000
304919,Fall 2021,COMM,1008,COMM 1008,1000
304919,Fall 2021,CRJU,1108,CRJU 1108,1000
304919,Fall 2021,CSUB,1029,CSUB 1029,1000
304919,Fall 2021,BIOL,1039,BIOL 1039,1000
305096,Spring 2022,CMPS,2020,CMPS 2020,2000
305096,Spring 2022,CMPS,2020,CMPS 2020,2000
305096,Spring 2022,PHYS,2210,PHYS 2210,2000
305096,Spring 2022,PHYS,2210,PHYS 2210,2000
305096,Spring 2022,BA,1008,BA 1008,1000
305096,Fall 2021,COMM,1008,COMM 1008,1000
305096,Spring 2022,PLSI,1018,PLSI 1018,1000
305096,Fall 2021,CSUB,1029,CSUB 1029,1000
305096,Fall 2021,CMPS,2010,CMPS 2010,2000
305096,Fall 2021,CMPS,2010,CMPS 2010,2000
305096,Fall 2021,PHIL,1019,PHIL 1019,1000
305096,Fall 2021,ART,1009,ART 1009,1000
305096,Fall 2021,ART,1009,ART 1009,1000
306053,Fall 2021,KINE,1506,KINE 1506,1000
306053,Spring 2022,KINE,1503,KINE 1503,1000
306053,Spring 2022,KINE,1512,KINE 1512,1000
306053,Spring 2022,PHIL,1019,PHIL 1019,1000
306053,Spring 2022,ENGL,1109,ENGL 1109,1000
306053,Spring 2022,CHEM,1000,CHEM 1000,1000
306053,Spring 2022,PSYC,1018,PSYC 1018,1000
306053,Fall 2021,THTR,1009,THTR 1009,1000
306053,Fall 2021,KINE,1537,KINE 1537,1000
306053,Fall 2021,MUS,1019,MUS 1019,1000
306053,Fall 2021,PSYC,2018,PSYC 2018,2000
306053,Fall 2021,CSUB,1029,CSUB 1029,1000
306053,Fall 2021,KINE,1018,KINE 1018,1000
306571,Spring 2022,HIST,1218,HIST 1218,1000
306571,Spring 2022,PHIL,1019,PHIL 1019,1000
306571,Spring 2022,BIOL,2010,BIOL 2010,2000
306571,Spring 2022,BIOL,2010,BIOL 2010,2000
306571,Spring 2022,CHEM,1000,CHEM 1000,1000
306571,Spring 2022,GST,1211,GST 1211,1000
306571,Spring 2022,ART,1019,ART 1019,1000
306571,Fall 2021,CSUB,1029,CSUB 1029,1000
306571,Fall 2021,ENGL,1109,ENGL 1109,1000
306571,Fall 2021,MATH,1050,MATH 1050,1000
306571,Fall 2021,MATH,1050,MATH 1050,1000
306571,Fall 2021,GST,1210,GST 1210,1000
306571,Fall 2021,CHEM,1010,CHEM 1010,1000
306571,Fall 2021,COMM,1008,COMM 1008,1000
306613,Fall 2021,PSYC,2018,PSYC 2018,2000
306613,Spring 2022,RS,2108,RS 2108,2000
306613,Spring 2022,PSYC,2020,PSYC 2020,2000
306613,Fall 2021,PSYC,1018,PSYC 1018,1000
306613,Spring 2022,GEOL,1009,GEOL 1009,1000
306613,Spring 2022,GEOL,1009,GEOL 1009,1000
306613,Spring 2022,PHIL,1019,PHIL 1019,1000
306613,Fall 2021,ENGL,1109,ENGL 1109,1000
306613,Spring 2022,ART,1019,ART 1019,1000
306613,Fall 2021,GST,1110,GST 1110,1000
306613,Fall 2021,COMM,1008,COMM 1008,1000
306613,Fall 2021,CSUB,1029,CSUB 1029,1000
307003,Spring 2022,KINE,1507,KINE 1507,1000
307003,Spring 2022,PHIL,1019,PHIL 1019,1000
307003,Spring 2022,PSYC,1018,PSYC 1018,1000
307003,Spring 2022,COMM,1008,COMM 1008,1000
307003,Spring 2022,CHEM,1003,CHEM 1003,1000
307003,Spring 2022,HIST,1228,HIST 1228,1000
307003,Fall 2021,CSUB,1029,CSUB 1029,1000
307003,Fall 2021,ENGL,1109,ENGL 1109,1000
307003,Fall 2021,KINE,1018,KINE 1018,1000
307003,Fall 2021,ART,1009,ART 1009,1000
307003,Fall 2021,ART,1009,ART 1009,1000
307003,Fall 2021,KINE,1502,KINE 1502,1000
307003,Fall 2021,KINE,2018,KINE 2018,2000
308119,Spring 2022,PHIL,1019,PHIL 1019,1000
308119,Spring 2022,SOC,1008,SOC 1008,1000
308119,Spring 2022,COMM,1008,COMM 1008,1000
308119,Spring 2022,HIST,1418,HIST 1418,1000
308119,Spring 2022,MGMT,3000,MGMT 3000,3000
308119,Fall 2021,CSUB,1029,CSUB 1029,1000
308119,Fall 2021,MATH,2200,MATH 2200,2000
308119,Fall 2021,BA,1008,BA 1008,1000
308119,Fall 2021,ART,1009,ART 1009,1000
308119,Fall 2021,ART,1009,ART 1009,1000
308119,Fall 2021,ENGL,1109,ENGL 1109,1000
308547,Spring 2022,PSYC,2018,PSYC 2018,2000
308547,Spring 2022,SOC,2208,SOC 2208,2000
308547,Spring 2022,PSYC,2030,PSYC 2030,2000
308547,Spring 2022,GST,1110,GST 1110,1000
308547,Spring 2022,PSYC,2020,PSYC 2020,2000
308547,Fall 2021,ART,1019,ART 1019,1000
308547,Fall 2021,CSUB,1029,CSUB 1029,1000
